time (UTC),sea_surface_height_above_sea_level_geoid_mhhw (m),z (m),timestamp
2018-09-05 21:00:00+00:00,0.4785,0.0,1536181200.0
2018-09-05 22:00:00+00:00,0.442,0.0,1536184800.0
2018-09-05 23:00:00+00:00,0.4968,0.0,1536188400.0
2018-09-06 01:00:00+00:00,0.5456,0.0,1536195600.0
2018-09-06 02:00:00+00:00,0.5761,0.0,1536199200.0
2018-09-06 03:00:00+00:00,0.5456,0.0,1536202800.0
2018-09-06 04:00:00+00:00,0.5029,0.0,1536206400.0
2018-09-06 05:00:00+00:00,0.5182,0.0,1536210000.0
2018-09-06 06:00:00+00:00,0.4999,0.0,1536213600.0
2018-09-06 07:00:00+00:00,0.4694,0.0,1536217200.0
2018-09-06 09:00:00+00:00,0.4572,0.0,1536224400.0
2018-09-06 10:00:00+00:00,0.4298,0.0,1536228000.0
2018-09-06 11:00:00+00:00,0.4023,0.0,1536231600.0
2018-09-06 12:00:00+00:00,1.3167,0.0,1536235200.0
2018-09-06 13:00:00+00:00,0.3566,0.0,1536238800.0
2018-09-06 15:00:00+00:00,0.2926,0.0,1536246000.0
2018-09-06 16:00:00+00:00,0.2347,0.0,1536249600.0
2018-09-06 17:00:00+00:00,0.2073,0.0,1536253200.0
2018-09-06 18:00:00+00:00,0.192,0.0,1536256800.0
2018-09-06 20:00:00+00:00,0.1524,0.0,1536264000.0
2018-09-06 21:00:00+00:00,0.1189,0.0,1536267600.0
2018-09-06 22:00:00+00:00,0.1128,0.0,1536271200.0
2018-09-06 23:00:00+00:00,0.128,0.0,1536274800.0
2018-09-07 00:00:00+00:00,0.1524,0.0,1536278400.0
2018-09-07 01:00:00+00:00,0.1889999999999999,0.0,1536282000.0
2018-09-07 02:00:00+00:00,0.2164,0.0,1536285600.0
2018-09-07 03:00:00+00:00,0.2073,0.0,1536289200.0
2018-09-07 04:00:00+00:00,0.1859,0.0,1536292800.0
2018-09-07 05:00:00+00:00,0.1524,0.0,1536296400.0
2018-09-07 06:00:00+00:00,0.1494,0.0,1536300000.0
2018-09-07 07:00:00+00:00,0.0914,0.0,1536303600.0
2018-09-07 08:00:00+00:00,0.0366,0.0,1536307200.0
2018-09-07 09:00:00+00:00,-0.003,0.0,1536310800.0
2018-09-07 10:00:00+00:00,-0.0366,0.0,1536314400.0
2018-09-07 11:00:00+00:00,-0.0244,0.0,1536318000.0
2018-09-07 12:00:00+00:00,-0.0213,0.0,1536321600.0
2018-09-07 13:00:00+00:00,-0.0122,0.0,1536325200.0
2018-09-07 14:00:00+00:00,0.0061,0.0,1536328800.0
2018-09-07 15:00:00+00:00,0.0,0.0,1536332400.0
2018-09-07 16:00:00+00:00,-0.0335,0.0,1536336000.0
2018-09-07 17:00:00+00:00,-0.0549,0.0,1536339600.0
2018-09-07 18:00:00+00:00,-0.0945,0.0,1536343200.0
2018-09-07 19:00:00+00:00,-0.0884,0.0,1536346800.0
2018-09-07 20:00:00+00:00,-0.0975,0.0,1536350400.0
2018-09-07 21:00:00+00:00,-0.0945,0.0,1536354000.0
2018-09-07 22:00:00+00:00,-0.0792,0.0,1536357600.0
2018-09-07 23:00:00+00:00,-0.064,0.0,1536361200.0
2018-09-08 01:00:00+00:00,0.0091,0.0,1536368400.0
2018-09-08 02:00:00+00:00,0.0701,0.0,1536372000.0
2018-09-08 03:00:00+00:00,0.1036,0.0,1536375600.0
2018-09-08 04:00:00+00:00,0.0975,0.0,1536379200.0
2018-09-08 05:00:00+00:00,0.0396,0.0,1536382800.0
2018-09-08 06:00:00+00:00,0.0091,0.0,1536386400.0
2018-09-08 07:00:00+00:00,-0.0091,0.0,1536390000.0
2018-09-08 08:00:00+00:00,-0.0396,0.0,1536393600.0
2018-09-08 09:00:00+00:00,-0.0488,0.0,1536397200.0
2018-09-08 10:00:00+00:00,-0.0427,0.0,1536400800.0
2018-09-08 11:00:00+00:00,-0.0274,0.0,1536404400.0
2018-09-08 12:00:00+00:00,-0.0091,0.0,1536408000.0
2018-09-08 13:00:00+00:00,0.0305,0.0,1536411600.0
2018-09-08 14:00:00+00:00,0.0884,0.0,1536415200.0
2018-09-08 15:00:00+00:00,0.125,0.0,1536418800.0
2018-09-08 16:00:00+00:00,0.128,0.0,1536422400.0
2018-09-08 17:00:00+00:00,0.1524,0.0,1536426000.0
2018-09-08 18:00:00+00:00,0.128,0.0,1536429600.0
2018-09-08 19:00:00+00:00,0.0823,0.0,1536433200.0
2018-09-08 20:00:00+00:00,0.0366,0.0,1536436800.0
2018-09-08 21:00:00+00:00,0.0091,0.0,1536440400.0
2018-09-08 22:00:00+00:00,-0.0152,0.0,1536444000.0
2018-09-08 23:00:00+00:00,-0.0,0.0,1536447600.0
2018-09-09 00:00:00+00:00,0.0335,0.0,1536451200.0
2018-09-09 01:00:00+00:00,0.0549,0.0,1536454800.0
2018-09-09 02:00:00+00:00,0.1006,0.0,1536458400.0
2018-09-09 03:00:00+00:00,0.1402,0.0,1536462000.0
2018-09-09 04:00:00+00:00,0.1646,0.0,1536465600.0
2018-09-09 05:00:00+00:00,0.1951,0.0,1536469200.0
2018-09-09 06:00:00+00:00,0.1859,0.0,1536472800.0
2018-09-09 07:00:00+00:00,0.1554,0.0,1536476400.0
2018-09-09 08:00:00+00:00,0.1158,0.0,1536480000.0
2018-09-09 09:00:00+00:00,0.1128,0.0,1536483600.0
2018-09-09 10:00:00+00:00,0.1372,0.0,1536487200.0
2018-09-09 11:00:00+00:00,0.1554,0.0,1536490800.0
2018-09-09 12:00:00+00:00,0.1707,0.0,1536494400.0
2018-09-09 13:00:00+00:00,0.2073,0.0,1536498000.0
2018-09-09 14:00:00+00:00,0.2286,0.0,1536501600.0
2018-09-09 15:00:00+00:00,0.2682,0.0,1536505200.0
2018-09-09 16:00:00+00:00,0.2987,0.0,1536508800.0
2018-09-09 17:00:00+00:00,0.2926,0.0,1536512400.0
2018-09-09 18:00:00+00:00,0.2256,0.0,1536516000.0
2018-09-09 19:00:00+00:00,0.1676,0.0,1536519600.0
2018-09-09 20:00:00+00:00,0.1402,0.0,1536523200.0
2018-09-09 21:00:00+00:00,0.1158,0.0,1536526800.0
2018-09-09 22:00:00+00:00,0.0579,0.0,1536530400.0
2018-09-09 23:00:00+00:00,0.0335,0.0,1536534000.0
2018-09-10 00:00:00+00:00,0.0183,0.0,1536537600.0
2018-09-10 01:00:00+00:00,0.0366,0.0,1536541200.0
2018-09-10 02:00:00+00:00,0.064,0.0,1536544800.0
2018-09-10 03:00:00+00:00,0.1128,0.0,1536548400.0
2018-09-10 04:00:00+00:00,0.1524,0.0,1536552000.0
2018-09-10 05:00:00+00:00,0.1676,0.0,1536555600.0
2018-09-10 06:00:00+00:00,0.1798,0.0,1536559200.0
2018-09-10 07:00:00+00:00,0.1494,0.0,1536562800.0
2018-09-10 08:00:00+00:00,0.0914,0.0,1536566400.0
2018-09-10 09:00:00+00:00,0.0792,0.0,1536570000.0
2018-09-10 10:00:00+00:00,0.0671,0.0,1536573600.0
2018-09-10 11:00:00+00:00,0.0518,0.0,1536577200.0
2018-09-10 12:00:00+00:00,0.0457,0.0,1536580800.0
2018-09-10 13:00:00+00:00,0.0701,0.0,1536584400.0
2018-09-10 14:00:00+00:00,0.0975,0.0,1536588000.0
2018-09-10 15:00:00+00:00,0.1341,0.0,1536591600.0
2018-09-10 16:00:00+00:00,0.1707,0.0,1536595200.0
2018-09-10 17:00:00+00:00,0.1889999999999999,0.0,1536598800.0
2018-09-10 18:00:00+00:00,0.1524,0.0,1536602400.0
2018-09-10 19:00:00+00:00,0.1036,0.0,1536606000.0
2018-09-10 20:00:00+00:00,0.0488,0.0,1536609600.0
2018-09-10 21:00:00+00:00,0.0,0.0,1536613200.0
2018-09-10 22:00:00+00:00,-0.0305,0.0,1536616800.0
2018-09-10 23:00:00+00:00,-0.0671,0.0,1536620400.0
2018-09-11 01:00:00+00:00,-0.0762,0.0,1536627600.0
2018-09-11 02:00:00+00:00,-0.0488,0.0,1536631200.0
2018-09-11 03:00:00+00:00,0.003,0.0,1536634800.0
2018-09-11 04:00:00+00:00,0.061,0.0,1536638400.0
2018-09-11 05:00:00+00:00,0.1036,0.0,1536642000.0
2018-09-11 06:00:00+00:00,0.1402,0.0,1536645600.0
2018-09-11 07:00:00+00:00,0.1372,0.0,1536649200.0
2018-09-11 08:00:00+00:00,0.1067,0.0,1536652800.0
2018-09-11 09:00:00+00:00,0.0671,0.0,1536656400.0
2018-09-11 10:00:00+00:00,0.0579,0.0,1536660000.0
2018-09-11 11:00:00+00:00,0.0305,0.0,1536663600.0
