Run,Collection_date,cruise_id,BioSample,Depth
SRR5720338,2004-01-27,BATS184,SAMN07137070,1m
SRR5720322,2004-02-24,BATS185,SAMN07137121,1m
SRR5720337,2004-03-23,BATS186,SAMN07137073,1m
SRR5720256,2004-04-21,BATS187,SAMN07137091,1m
SRR5720257,2004-05-18,BATS188,SAMN07137112,10m
SRR5720260,2004-06-15,BATS189,SAMN07137115,10m
SRR5720321,2004-08-17,BATS191,SAMN07137118,1m
SRR5720251,2004-09-14,BATS192,SAMN07137094,1m
SRR5720307,2004-10-13,BATS193,SAMN07137097,1m
SRR5720278,2004-11-12,BATS194,SAMN07137100,1m
SRR5720342,2004-12-08,BATS195,SAMN07137076,1m
