clip_name,label
train00001.aiff,0
train00002.aiff,0
train00003.aiff,0
train00004.aiff,0
train00005.aiff,0
train00006.aiff,1
train00007.aiff,1
train00008.aiff,0
train00009.aiff,1
train00010.aiff,0
train00011.aiff,0
train00012.aiff,1
train00013.aiff,0
train00014.aiff,0
train00015.aiff,0
train00016.aiff,0
train00017.aiff,0
train00018.aiff,0
train00019.aiff,0
train00020.aiff,0
train00021.aiff,0
train00022.aiff,0
train00023.aiff,0
train00024.aiff,0
train00025.aiff,0
train00026.aiff,0
train00027.aiff,0
train00028.aiff,1
train00029.aiff,0
train00030.aiff,0
train00031.aiff,1
train00032.aiff,1
train00033.aiff,0
train00034.aiff,0
train00035.aiff,0
train00036.aiff,0
train00037.aiff,0
train00038.aiff,0
train00039.aiff,0
train00040.aiff,0
train00041.aiff,0
train00042.aiff,0
train00043.aiff,0
train00044.aiff,0
train00045.aiff,0
train00046.aiff,0
train00047.aiff,0
train00048.aiff,0
train00049.aiff,0
train00050.aiff,0
train00051.aiff,0
train00052.aiff,0
train00053.aiff,0
train00054.aiff,0
train00055.aiff,1
train00056.aiff,0
train00057.aiff,0
train00058.aiff,0
train00059.aiff,0
train00060.aiff,0
train00061.aiff,0
train00062.aiff,0
train00063.aiff,0
train00064.aiff,1
train00065.aiff,0
train00066.aiff,0
train00067.aiff,0
train00068.aiff,0
train00069.aiff,0
train00070.aiff,0
train00071.aiff,0
train00072.aiff,0
train00073.aiff,1
train00074.aiff,1
train00075.aiff,1
train00076.aiff,0
train00077.aiff,1
train00078.aiff,1
train00079.aiff,1
train00080.aiff,1
train00081.aiff,1
train00082.aiff,1
train00083.aiff,0
train00084.aiff,1
train00085.aiff,0
train00086.aiff,0
train00087.aiff,0
train00088.aiff,0
train00089.aiff,0
train00090.aiff,0
train00091.aiff,0
train00092.aiff,0
train00093.aiff,0
train00094.aiff,0
train00095.aiff,0
train00096.aiff,0
train00097.aiff,0
train00098.aiff,0
train00099.aiff,0
train00100.aiff,0
train00101.aiff,0
train00102.aiff,0
train00103.aiff,0
train00104.aiff,0
train00105.aiff,0
train00106.aiff,0
train00107.aiff,0
train00108.aiff,0
train00109.aiff,0
train00110.aiff,0
train00111.aiff,0
train00112.aiff,0
train00113.aiff,0
train00114.aiff,0
train00115.aiff,0
train00116.aiff,0
train00117.aiff,0
train00118.aiff,0
train00119.aiff,0
train00120.aiff,0
train00121.aiff,0
train00122.aiff,0
train00123.aiff,0
train00124.aiff,0
train00125.aiff,0
train00126.aiff,0
train00127.aiff,0
train00128.aiff,0
train00129.aiff,0
train00130.aiff,0
train00131.aiff,0
train00132.aiff,0
train00133.aiff,1
train00134.aiff,0
train00135.aiff,0
train00136.aiff,0
train00137.aiff,0
train00138.aiff,0
train00139.aiff,0
train00140.aiff,0
train00141.aiff,0
train00142.aiff,0
train00143.aiff,0
train00144.aiff,0
train00145.aiff,0
train00146.aiff,0
train00147.aiff,0
train00148.aiff,0
train00149.aiff,0
train00150.aiff,0
train00151.aiff,0
train00152.aiff,0
train00153.aiff,0
train00154.aiff,0
train00155.aiff,0
train00156.aiff,0
train00157.aiff,0
train00158.aiff,0
train00159.aiff,0
train00160.aiff,0
train00161.aiff,0
train00162.aiff,0
train00163.aiff,0
train00164.aiff,0
train00165.aiff,0
train00166.aiff,0
train00167.aiff,0
train00168.aiff,1
train00169.aiff,0
train00170.aiff,0
train00171.aiff,0
train00172.aiff,0
train00173.aiff,0
train00174.aiff,0
train00175.aiff,0
train00176.aiff,0
train00177.aiff,0
train00178.aiff,0
train00179.aiff,0
train00180.aiff,1
train00181.aiff,0
train00182.aiff,0
train00183.aiff,0
train00184.aiff,0
train00185.aiff,0
train00186.aiff,0
train00187.aiff,0
train00188.aiff,0
train00189.aiff,0
train00190.aiff,0
train00191.aiff,0
train00192.aiff,0
train00193.aiff,0
train00194.aiff,0
train00195.aiff,0
train00196.aiff,0
train00197.aiff,0
train00198.aiff,0
train00199.aiff,0
train00200.aiff,0
train00201.aiff,0
train00202.aiff,0
train00203.aiff,0
train00204.aiff,0
train00205.aiff,0
train00206.aiff,0
train00207.aiff,0
train00208.aiff,0
train00209.aiff,0
train00210.aiff,0
train00211.aiff,0
train00212.aiff,0
train00213.aiff,0
train00214.aiff,0
train00215.aiff,0
train00216.aiff,0
train00217.aiff,0
train00218.aiff,0
train00219.aiff,0
train00220.aiff,0
train00221.aiff,0
train00222.aiff,0
train00223.aiff,0
train00224.aiff,0
train00225.aiff,0
train00226.aiff,1
train00227.aiff,1
train00228.aiff,1
train00229.aiff,1
train00230.aiff,1
train00231.aiff,0
train00232.aiff,0
train00233.aiff,0
train00234.aiff,0
train00235.aiff,0
train00236.aiff,0
train00237.aiff,0
train00238.aiff,0
train00239.aiff,0
train00240.aiff,0
train00241.aiff,0
train00242.aiff,0
train00243.aiff,0
train00244.aiff,0
train00245.aiff,0
train00246.aiff,0
train00247.aiff,0
train00248.aiff,0
train00249.aiff,0
train00250.aiff,0
train00251.aiff,0
train00252.aiff,0
train00253.aiff,0
train00254.aiff,0
train00255.aiff,0
train00256.aiff,0
train00257.aiff,0
train00258.aiff,0
train00259.aiff,0
train00260.aiff,0
train00261.aiff,0
train00262.aiff,0
train00263.aiff,0
train00264.aiff,0
train00265.aiff,0
train00266.aiff,0
train00267.aiff,0
train00268.aiff,0
train00269.aiff,0
train00270.aiff,0
train00271.aiff,0
train00272.aiff,0
train00273.aiff,1
train00274.aiff,0
train00275.aiff,0
train00276.aiff,0
train00277.aiff,0
train00278.aiff,0
train00279.aiff,0
train00280.aiff,0
train00281.aiff,0
train00282.aiff,0
train00283.aiff,0
train00284.aiff,0
train00285.aiff,0
train00286.aiff,0
train00287.aiff,0
train00288.aiff,0
train00289.aiff,0
train00290.aiff,0
train00291.aiff,0
train00292.aiff,0
train00293.aiff,0
train00294.aiff,0
train00295.aiff,0
train00296.aiff,0
train00297.aiff,0
train00298.aiff,0
train00299.aiff,0
train00300.aiff,0
train00301.aiff,0
train00302.aiff,0
train00303.aiff,0
train00304.aiff,0
train00305.aiff,0
train00306.aiff,0
train00307.aiff,0
train00308.aiff,0
train00309.aiff,0
train00310.aiff,1
train00311.aiff,0
train00312.aiff,0
train00313.aiff,0
train00314.aiff,0
train00315.aiff,0
train00316.aiff,0
train00317.aiff,0
train00318.aiff,0
train00319.aiff,0
train00320.aiff,0
train00321.aiff,0
train00322.aiff,0
train00323.aiff,0
train00324.aiff,0
train00325.aiff,0
train00326.aiff,0
train00327.aiff,0
train00328.aiff,0
train00329.aiff,0
train00330.aiff,0
train00331.aiff,0
train00332.aiff,0
train00333.aiff,0
train00334.aiff,0
train00335.aiff,0
train00336.aiff,0
train00337.aiff,0
train00338.aiff,0
train00339.aiff,0
train00340.aiff,0
train00341.aiff,0
train00342.aiff,0
train00343.aiff,0
train00344.aiff,0
train00345.aiff,0
train00346.aiff,0
train00347.aiff,0
train00348.aiff,0
train00349.aiff,1
train00350.aiff,1
train00351.aiff,1
train00352.aiff,1
train00353.aiff,0
train00354.aiff,0
train00355.aiff,0
train00356.aiff,0
train00357.aiff,0
train00358.aiff,0
train00359.aiff,0
train00360.aiff,0
train00361.aiff,0
train00362.aiff,0
train00363.aiff,0
train00364.aiff,0
train00365.aiff,0
train00366.aiff,0
train00367.aiff,0
train00368.aiff,0
train00369.aiff,0
train00370.aiff,0
train00371.aiff,0
train00372.aiff,0
train00373.aiff,1
train00374.aiff,0
train00375.aiff,0
train00376.aiff,0
train00377.aiff,0
train00378.aiff,1
train00379.aiff,1
train00380.aiff,1
train00381.aiff,0
train00382.aiff,0
train00383.aiff,0
train00384.aiff,0
train00385.aiff,0
train00386.aiff,1
train00387.aiff,0
train00388.aiff,0
train00389.aiff,0
train00390.aiff,0
train00391.aiff,0
train00392.aiff,0
train00393.aiff,0
train00394.aiff,0
train00395.aiff,0
