sag	metagenome	Percent_scaffolds_with_any_coverage	Percent_of_reference_bases_covered	Average_coverage	total_reads_recruited	total_bp_recruited	mg_wgs_technology	mg_read_count	mg_bp_count	sag_completeness	sag_total_bp	sag_size_mbp	MG_reads_per_SAG_mbp	MG_bp_per_SAG_mpb	prop_total_MG_reads_recruited_per_SAG_mbp	prop_total_MG_bp_recruited_per_SAG_mbp
AAA008-D05	TARA_037_meso600	100	61.71645913	1.613403611	6583	1052209	illumina	138119151	22754587258	25.86	608374	0.608374	10820.64651	1729543.011	7.83E-05	7.60E-05
AAA008-D05	TARA_038_dcm25	0	0	0	0	0	illumina	141302282	23950322584	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_038_meso340	100	13.49247735	0.279030689	1021	158179	illumina	48385424	8135002325	25.86	608374	0.608374	1678.243975	260002.893	3.47E-05	3.20E-05
AAA008-D05	TARA_038_sur5	0	0	0	0	0	illumina	82081994	13385266487	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_039_dcm25	0	0	0	0	0	illumina	111717200	19513424647	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_039_meso270	100	2.101611259	0.133621343	339	49960	illumina	75320999	12548073144	25.86	608374	0.608374	557.223024	82120.5377	7.40E-06	6.54E-06
AAA008-D05	TARA_056_meso480	100	68.03048035	1.81445897	6845	1156435	illumina	7843247	1344874326	25.86	608374	0.608374	11251.30265	1900861.97	0.001434521	0.001413412
AAA008-D05	TARA_056_sur5	0	0	0	0	0	illumina	152687351	23444662018	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_064_dcm65	100	0.346160853	0.003441435	1	170	illumina	55540498	9333215406	25.86	608374	0.608374	1.643725734	279.4333749	2.96E-08	2.99E-08
AAA008-D05	TARA_064_meso1000	100	88.04948126	12.80388226	50668	8321779	illumina	53130556	8833433215	25.86	608374	0.608374	83284.29552	13678722.3	0.00156754	0.001548517
AAA008-D05	TARA_064_sur5	100	0.307492165	0.003045445	1	103	illumina	180390803	29737694236	25.86	608374	0.608374	1.643725734	169.3037507	9.11E-09	5.69E-09
AAA008-D05	TARA_065_dcm30	100	5.802018353	0.100260257	314	45128	illumina	116376549	17034924575	25.86	608374	0.608374	516.1298806	74178.05495	4.43E-06	4.35E-06
AAA008-D05	TARA_065_meso850	100	91.55626635	31.85331275	127867	20759967	illumina	155155053	25486549814	25.86	608374	0.608374	210178.2785	34123692.01	0.001354634	0.00133889
AAA008-D05	TARA_065_sur5	100	0.231110751	0.002290881	1	113	illumina	54078421	9129901435	25.86	608374	0.608374	1.643725734	185.741008	3.04E-08	2.03E-08
AAA008-D05	TARA_068_dcm50	0	0	0	0	0	illumina	31643656	5296515678	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_068_meso700	100	93.00155163	37.31704999	150527	24116737	illumina	142556679	23108080669	25.86	608374	0.608374	247425.1036	39641301.24	0.001735626	0.001715474
AAA008-D05	TARA_068_sur5	100	0.59350736	0.012394063	22	3440	illumina	36575555	6041514521	25.86	608374	0.608374	36.16196616	5654.416527	9.89E-07	9.36E-07
AAA008-D05	TARA_070_meso800	100	92.7033886	20.80318013	78735	12967616	illumina	93983693	15695870172	25.86	608374	0.608374	129418.7457	21315204.13	0.001377034	0.001358014
AAA008-D05	TARA_070_sur5	100	0.448347098	0.008014991	13	1994	illumina	47683276	7832023665	25.86	608374	0.608374	21.36843455	3277.589115	4.48E-07	4.18E-07
AAA008-D05	TARA_072_dcm100	0	0	0	0	0	illumina	44872083	7471788986	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_072_meso800	100	85.7840011	7.14299272	27403	4525281	illumina	79019269	13213103814	25.86	608374	0.608374	45043.0163	7438320.836	0.000570026	0.00056295
AAA008-D05	TARA_072_sur5	0	0	0	0	0	illumina	145316423	24299611193	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_076_dcm150	100	0.161456457	0.002752908	4	673	illumina	134347028	21691680098	25.86	608374	0.608374	6.574902938	1106.227419	4.89E-08	5.10E-08
AAA008-D05	TARA_076_meso800	100	93.71803048	41.11877525	157727	25732478	illumina	158117154	26146280939	25.86	608374	0.608374	259259.9289	42297136.3	0.00163967	0.001617711
AAA008-D05	TARA_076_sur5	0	0	0	0	0	illumina	120202409	20779090899	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_078_dcm30	100	0.328188753	0.003252417	1	110	illumina	119191753	19936478597	25.86	608374	0.608374	1.643725734	180.8098308	1.38E-08	9.07E-09
AAA008-D05	TARA_078_meso800	100	90.80362661	27.06848852	105512	17357467	illumina	112306318	18704213213	25.86	608374	0.608374	173432.7897	28530915.19	0.001544283	0.001525374
AAA008-D05	TARA_078_sur5	0	0	0	0	0	illumina	108109233	18314683605	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_085_dcm90	100	1.260372793	0.017844854	44	7165	illumina	137365648	22760974137	25.86	608374	0.608374	72.32393232	11777.29489	5.27E-07	5.17E-07
AAA008-D05	TARA_085_meso790	100	82.43007798	7.477404539	27354	4521258	illumina	53916241	9042728173	25.86	608374	0.608374	44962.47374	7431708.127	0.000833932	0.000821844
AAA008-D05	TARA_085_sur5	0	0	0	0	0	illumina	135557491	22075354517	25.86	608374	0.608374	0	0	0	0
AAA008-D05	TARA_098_dcm188	0	0	0	0	0	illumina	80654027	12718401274	25.86	608374	0.608374	0	0	0	0
